Local time,Open,High,Low,Close,Volume
12.04.2022 03:00:00.000 GMT+0300,1.08769,1.09036,1.08211,1.08260,232661.5469
13.04.2022 03:00:00.000 GMT+0300,1.08259,1.08973,1.08088,1.08950,219749.3125
14.04.2022 03:00:00.000 GMT+0300,1.08951,1.09233,1.07575,1.08209,290588.875
15.04.2022 03:00:00.000 GMT+0300,1.08211,1.08236,1.07964,1.08057,146622.2656
16.04.2022 03:00:00.000 GMT+0300,1.08057,1.08057,1.08057,1.08057,0
17.04.2022 03:00:00.000 GMT+0300,1.08029,1.08216,1.08009,1.08139,18369.9297
18.04.2022 03:00:00.000 GMT+0300,1.08138,1.08156,1.07698,1.07799,146901.7656
19.04.2022 03:00:00.000 GMT+0300,1.07799,1.08145,1.07610,1.07941,191619.2969
20.04.2022 03:00:00.000 GMT+0300,1.07942,1.08670,1.07838,1.08493,157752.5
21.04.2022 03:00:00.000 GMT+0300,1.08491,1.09362,1.08234,1.08349,245183.4375
22.04.2022 03:00:00.000 GMT+0300,1.08349,1.08515,1.07707,1.07947,212066.4844
23.04.2022 03:00:00.000 GMT+0300,1.07947,1.07947,1.07947,1.07947,0
24.04.2022 03:00:00.000 GMT+0300,1.08041,1.08153,1.07960,1.08093,13955.3555
25.04.2022 03:00:00.000 GMT+0300,1.08093,1.08119,1.06966,1.07124,287526.2813
26.04.2022 03:00:00.000 GMT+0300,1.07124,1.07386,1.06348,1.06424,228762
27.04.2022 03:00:00.000 GMT+0300,1.06425,1.06546,1.05145,1.05541,252843.8438
28.04.2022 03:00:00.000 GMT+0300,1.05541,1.05647,1.04710,1.05029,273854.3125
29.04.2022 03:00:00.000 GMT+0300,1.05032,1.05928,1.05019,1.05409,218584.7031
30.04.2022 03:00:00.000 GMT+0300,1.05409,1.05409,1.05409,1.05409,0
01.05.2022 03:00:00.000 GMT+0300,1.05444,1.05597,1.05343,1.05349,22358.041
02.05.2022 03:00:00.000 GMT+0300,1.05347,1.05682,1.04901,1.05096,249807.1094
03.05.2022 03:00:00.000 GMT+0300,1.05095,1.05776,1.04921,1.05251,218568.3125
04.05.2022 03:00:00.000 GMT+0300,1.05252,1.06309,1.05059,1.06202,310246.875
05.05.2022 03:00:00.000 GMT+0300,1.06206,1.06417,1.04925,1.05394,319134.6563
06.05.2022 03:00:00.000 GMT+0300,1.05394,1.05988,1.04826,1.05452,379182.0938
07.05.2022 03:00:00.000 GMT+0300,1.05452,1.05452,1.05452,1.05452,0
08.05.2022 03:00:00.000 GMT+0300,1.05398,1.05426,1.05307,1.05320,12168.6299
09.05.2022 03:00:00.000 GMT+0300,1.05319,1.05924,1.04951,1.05631,248349.1875
10.05.2022 03:00:00.000 GMT+0300,1.05633,1.05852,1.05253,1.05289,229402.8906
11.05.2022 03:00:00.000 GMT+0300,1.05289,1.05771,1.05017,1.05117,321295.2813
12.05.2022 03:00:00.000 GMT+0300,1.05116,1.05292,1.03539,1.03784,352489.0938
13.05.2022 03:00:00.000 GMT+0300,1.03783,1.04195,1.03496,1.04116,146726.0156
14.05.2022 03:00:00.000 GMT+0300,1.04116,1.04116,1.04116,1.04116,0
15.05.2022 03:00:00.000 GMT+0300,1.03952,1.04138,1.03906,1.03980,15217.8984
16.05.2022 03:00:00.000 GMT+0300,1.03984,1.04430,1.03889,1.04390,194208.2031
17.05.2022 03:00:00.000 GMT+0300,1.04390,1.05556,1.04318,1.05487,237872.2344
18.05.2022 03:00:00.000 GMT+0300,1.05485,1.05636,1.04597,1.04729,143223.4375
19.05.2022 03:00:00.000 GMT+0300,1.04729,1.06070,1.04650,1.05795,271508.5313
20.05.2022 03:00:00.000 GMT+0300,1.05795,1.05990,1.05328,1.05610,178569.4531
21.05.2022 03:00:00.000 GMT+0300,1.05610,1.05610,1.05610,1.05610,0
22.05.2022 03:00:00.000 GMT+0300,1.05601,1.05777,1.05552,1.05689,17368.3691
23.05.2022 03:00:00.000 GMT+0300,1.05688,1.06973,1.05679,1.06837,217196.7656
24.05.2022 03:00:00.000 GMT+0300,1.06836,1.07485,1.06608,1.07326,162452.1719
25.05.2022 03:00:00.000 GMT+0300,1.07326,1.07365,1.06421,1.06869,180347.0156
26.05.2022 03:00:00.000 GMT+0300,1.06866,1.07344,1.06624,1.07324,154686.4688
27.05.2022 03:00:00.000 GMT+0300,1.07324,1.07650,1.06968,1.07317,131310.9063
28.05.2022 03:00:00.000 GMT+0300,1.07317,1.07317,1.07317,1.07317,0
29.05.2022 03:00:00.000 GMT+0300,1.07347,1.07360,1.07261,1.07290,8193.3301
30.05.2022 03:00:00.000 GMT+0300,1.07291,1.07867,1.07267,1.07729,135166.8281
31.05.2022 03:00:00.000 GMT+0300,1.07731,1.07744,1.06789,1.07340,242933.9375
01.06.2022 03:00:00.000 GMT+0300,1.07340,1.07393,1.06271,1.06509,174077.8125
02.06.2022 03:00:00.000 GMT+0300,1.06509,1.07510,1.06447,1.07500,125109.1719
03.06.2022 03:00:00.000 GMT+0300,1.07500,1.07643,1.07040,1.07169,105040.3281
04.06.2022 03:00:00.000 GMT+0300,1.07169,1.07169,1.07169,1.07169,0
05.06.2022 03:00:00.000 GMT+0300,1.07167,1.07298,1.07117,1.07252,8368.6699
06.06.2022 03:00:00.000 GMT+0300,1.07254,1.07518,1.06838,1.06896,121397.7734
07.06.2022 03:00:00.000 GMT+0300,1.06896,1.07142,1.06519,1.06972,171174.4844
08.06.2022 03:00:00.000 GMT+0300,1.06975,1.07484,1.06713,1.07168,149952.6875
09.06.2022 03:00:00.000 GMT+0300,1.07168,1.07738,1.06110,1.06190,244857.2344
10.06.2022 03:00:00.000 GMT+0300,1.06190,1.06422,1.05057,1.05137,182108.0938
11.06.2022 03:00:00.000 GMT+0300,1.05137,1.05137,1.05137,1.05137,0
12.06.2022 03:00:00.000 GMT+0300,1.05130,1.05201,1.04861,1.04907,29199.9863
13.06.2022 03:00:00.000 GMT+0300,1.04907,1.04955,1.03997,1.04148,267660.375
